epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1289,1.59825,3.85348,1.43317,0.30274,0.30552,0.24104,0.1349,1.47316,2.82352,1.45029,0.000546984,0.000546984,0.000546984
2,30.8773,1.47043,2.82256,1.36076,0.2431,0.23374,0.21085,0.10544,1.74311,6.22883,2.25061,0.00107536,0.00107536,0.00107536
3,40.5854,1.49572,2.48347,1.42815,0.46325,0.48172,0.36479,0.20778,1.37784,6.72097,1.67332,0.00157623,0.00157623,0.00157623
4,50.2713,1.47395,2.2392,1.48838,0.24193,0.15846,0.11745,0.06135,2.21728,4.39873,2.17347,0.00154323,0.00154323,0.00154323
5,59.7543,1.47819,1.84215,1.40632,0.00513,0.51741,0.00475,0.00261,1.59805,79.9688,1.70264,0.00150197,0.00150197,0.00150197
6,69.3195,1.26521,1.65758,1.30907,0.43773,0.44838,0.35669,0.2211,1.23647,3.01256,1.34229,0.00146071,0.00146071,0.00146071
7,79.0582,1.26787,1.52535,1.27681,0.4631,0.47946,0.40837,0.26908,1.24644,3.47686,1.35673,0.00141945,0.00141945,0.00141945
8,89.1825,1.29236,1.51269,1.31244,0.37463,0.50254,0.36366,0.19835,1.55969,2.89484,1.53023,0.00137819,0.00137819,0.00137819
9,98.9404,1.29117,1.56241,1.31305,0.4474,0.66026,0.44429,0.28192,1.19713,1.47162,1.25853,0.00133693,0.00133693,0.00133693
10,108.797,1.19393,1.43356,1.25551,0.44704,0.71521,0.45337,0.30743,1.27359,1.68302,1.31506,0.00129568,0.00129568,0.00129568
11,118.671,1.15529,1.39078,1.23666,0.48056,0.72115,0.49951,0.33637,1.15812,1.42659,1.24831,0.00125442,0.00125442,0.00125442
12,128.542,1.12323,1.37668,1.1936,0.44788,0.76771,0.44954,0.29043,1.27294,1.45626,1.34756,0.00121316,0.00121316,0.00121316
13,138.227,1.21451,1.44622,1.27706,0.41282,0.78031,0.47007,0.3142,1.18113,1.50209,1.29316,0.0011719,0.0011719,0.0011719
14,147.974,1.09757,1.32875,1.20054,0.48491,0.73379,0.46243,0.33479,1.14191,1.37935,1.23104,0.00113064,0.00113064,0.00113064
15,157.796,1.11667,1.29059,1.18981,0.48224,0.6801,0.42829,0.28303,1.27112,1.61162,1.30422,0.00108938,0.00108938,0.00108938
16,167.725,1.08005,1.28826,1.16109,0.47498,0.67377,0.47304,0.33449,1.19501,1.58488,1.26613,0.00104813,0.00104813,0.00104813
17,177.527,1.08877,1.29488,1.17124,0.46186,0.78361,0.46585,0.30784,1.1808,1.31347,1.27363,0.00100687,0.00100687,0.00100687
18,187.259,1.08143,1.27421,1.17121,0.46689,0.7416,0.52181,0.36089,1.10046,1.25154,1.18396,0.00096561,0.00096561,0.00096561
19,197.13,1.12335,1.24561,1.201,0.44322,0.86855,0.52395,0.36368,1.11026,1.2344,1.23562,0.000924352,0.000924352,0.000924352
20,206.868,1.08071,1.23215,1.17969,0.45082,0.81993,0.51857,0.3784,1.10014,1.28005,1.20421,0.000883093,0.000883093,0.000883093
21,216.587,1.01546,1.21483,1.11141,0.44198,0.82692,0.53124,0.36783,1.11179,1.28982,1.214,0.000841835,0.000841835,0.000841835
22,226.152,1.04808,1.24731,1.17056,0.4526,0.84338,0.49942,0.35414,1.11158,1.19499,1.24363,0.000800577,0.000800577,0.000800577
23,235.72,1.02817,1.17238,1.13633,0.45176,0.81873,0.52265,0.37472,1.07392,1.22994,1.19797,0.000759318,0.000759318,0.000759318
24,245.305,0.98029,1.1545,1.10928,0.47525,0.84364,0.53651,0.36505,1.15155,1.23062,1.20817,0.00071806,0.00071806,0.00071806
25,254.848,0.98432,1.21922,1.10596,0.46298,0.81873,0.46531,0.34552,1.04107,1.23265,1.14772,0.000676802,0.000676802,0.000676802
26,264.418,1.02301,1.18704,1.14488,0.45028,0.83343,0.51264,0.36306,1.06426,1.2282,1.17486,0.000635544,0.000635544,0.000635544
27,274.123,0.94713,1.15735,1.08767,0.4709,0.84856,0.50254,0.36639,1.02709,1.16319,1.14061,0.000594286,0.000594286,0.000594286
28,283.757,0.94385,1.13256,1.09303,0.47224,0.84934,0.52692,0.36849,1.05444,1.17929,1.17373,0.000553027,0.000553027,0.000553027
29,293.385,0.94409,1.14829,1.07494,0.445,0.84364,0.50939,0.35278,1.11828,1.2194,1.2169,0.000511769,0.000511769,0.000511769
30,303.117,0.96281,1.12389,1.08378,0.41165,0.85264,0.48927,0.34394,1.12326,1.29637,1.19925,0.000470511,0.000470511,0.000470511
