epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.13194,1.79065,4.64362,1.64491,0.6655,0.26351,0.23222,0.13953,1.56744,3.49731,1.54307,0.000545182,0.000545182,0.000545182
2,16.6658,1.73684,3.14476,1.5526,0.00041,0.01282,7e-05,2e-05,3.41823,982.64,4.11105,0.00108723,0.00108723,0.00108723
3,24.8738,1.65947,2.68043,1.57958,0.05651,0.14372,0.03769,0.01386,2.2838,7.86775,2.23618,0.00161552,0.00161552,0.00161552
4,33.0493,1.6518,2.60349,1.55334,0.12944,0.18084,0.07857,0.03179,2.15403,8.3889,2.33918,0.00160511,0.00160511,0.00160511
5,41.1999,1.6157,2.09909,1.59319,0.29474,0.41532,0.26449,0.1375,1.62565,6.21671,1.72017,0.00158448,0.00158448,0.00158448
6,49.3271,1.61366,1.86652,1.55227,0.41268,0.41599,0.28696,0.16675,1.6791,4.85555,1.75981,0.00156385,0.00156385,0.00156385
7,57.6071,1.60463,1.80165,1.55428,0.33621,0.38968,0.28308,0.17303,1.57398,4.18796,1.65298,0.00154323,0.00154323,0.00154323
8,65.9568,1.39011,1.6797,1.43165,0.34675,0.52385,0.32744,0.17852,1.52206,2.11053,1.64215,0.0015226,0.0015226,0.0015226
9,74.257,1.43545,1.7683,1.46406,0.38838,0.50506,0.39423,0.2648,1.37613,2.13337,1.49148,0.00150197,0.00150197,0.00150197
10,82.5627,1.39193,1.63014,1.40372,0.41694,0.51308,0.42503,0.27966,1.38026,1.67116,1.45787,0.00148134,0.00148134,0.00148134
11,90.8335,1.42232,1.62577,1.39477,0.38614,0.64946,0.43871,0.28809,1.30208,1.69753,1.38783,0.00146071,0.00146071,0.00146071
12,99.1635,1.34208,1.55956,1.36372,0.43108,0.64555,0.42109,0.28131,1.27724,1.70844,1.38872,0.00144008,0.00144008,0.00144008
13,107.316,1.38634,1.58629,1.41928,0.36818,0.5722,0.39933,0.26079,1.39399,1.70131,1.47155,0.00141945,0.00141945,0.00141945
14,115.505,1.32123,1.51314,1.38051,0.36662,0.57158,0.41026,0.27355,1.26192,1.62387,1.39817,0.00139882,0.00139882,0.00139882
15,123.699,1.3612,1.57864,1.43014,0.40383,0.58967,0.44608,0.31082,1.23582,1.55904,1.38308,0.00137819,0.00137819,0.00137819
16,132.071,1.25568,1.48872,1.32986,0.39812,0.53306,0.38598,0.26905,1.25709,1.78591,1.40543,0.00135756,0.00135756,0.00135756
17,140.349,1.35441,1.48384,1.36874,0.31047,0.47402,0.31375,0.20718,1.34761,2.01407,1.47628,0.00133693,0.00133693,0.00133693
18,148.561,1.2549,1.4509,1.31744,0.37486,0.5334,0.36799,0.24968,1.2822,1.7226,1.36864,0.0013163,0.0013163,0.0013163
19,156.776,1.19869,1.40551,1.2913,0.39813,0.66787,0.44879,0.32459,1.175,1.50368,1.31288,0.00129568,0.00129568,0.00129568
20,165.115,1.24075,1.44737,1.31357,0.40726,0.59852,0.4595,0.30953,1.2604,1.53117,1.35696,0.00127505,0.00127505,0.00127505
21,173.296,1.24445,1.38263,1.28636,0.44538,0.6616,0.47299,0.31214,1.27365,1.45262,1.31871,0.00125442,0.00125442,0.00125442
22,181.443,1.20896,1.39016,1.29332,0.45738,0.58448,0.47164,0.33938,1.20608,1.45565,1.32591,0.00123379,0.00123379,0.00123379
23,189.76,1.21538,1.3733,1.28908,0.39323,0.74089,0.48515,0.33044,1.15831,1.42652,1.31066,0.00121316,0.00121316,0.00121316
24,197.927,1.18591,1.37352,1.26588,0.4131,0.77969,0.45011,0.31439,1.21686,1.48955,1.32077,0.00119253,0.00119253,0.00119253
25,206.11,1.14368,1.28565,1.20844,0.4464,0.66363,0.46331,0.33168,1.19756,1.5109,1.34602,0.0011719,0.0011719,0.0011719
26,214.258,1.13727,1.3008,1.24084,0.40373,0.75371,0.45626,0.32028,1.17869,1.43264,1.31744,0.00115127,0.00115127,0.00115127
27,222.413,1.147,1.29589,1.24044,0.42074,0.73722,0.47871,0.34038,1.17446,1.38178,1.29339,0.00113064,0.00113064,0.00113064
28,230.73,1.13676,1.31359,1.22747,0.38763,0.67505,0.43902,0.31449,1.16254,1.49855,1.27061,0.00111001,0.00111001,0.00111001
29,238.892,1.13316,1.34136,1.2041,0.40267,0.70142,0.44669,0.30963,1.21187,1.47371,1.33445,0.00108938,0.00108938,0.00108938
30,247.031,1.19757,1.3309,1.28054,0.42558,0.64551,0.44703,0.32302,1.14885,1.45491,1.30147,0.00106876,0.00106876,0.00106876
