epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,255.165,1.12062,1.31896,1.24151,0.42985,0.76721,0.50506,0.36126,1.11615,1.36549,1.25147,0.00104813,0.00104813,0.00104813
32,263.492,1.11474,1.25903,1.21718,0.4843,0.67611,0.47856,0.32372,1.19785,1.39434,1.31045,0.0010275,0.0010275,0.0010275
33,271.647,1.13104,1.32115,1.2547,0.40597,0.74157,0.46298,0.33124,1.15821,1.43679,1.31393,0.00100687,0.00100687,0.00100687
34,279.811,1.13599,1.28349,1.26372,0.41302,0.70243,0.45188,0.31761,1.17411,1.42319,1.31026,0.000986239,0.000986239,0.000986239
35,287.96,1.16758,1.27787,1.25388,0.42432,0.7641,0.47888,0.33859,1.15001,1.38062,1.27333,0.00096561,0.00096561,0.00096561
36,296.108,1.16636,1.26445,1.25648,0.36633,0.6912,0.40353,0.27824,1.19394,1.50419,1.30639,0.000944981,0.000944981,0.000944981
37,304.265,1.14159,1.29976,1.24491,0.38392,0.82064,0.40539,0.27117,1.1364,1.42552,1.28,0.000924352,0.000924352,0.000924352
38,312.431,1.06208,1.23735,1.18307,0.38598,0.80466,0.48623,0.32754,1.1681,1.40774,1.28954,0.000903722,0.000903722,0.000903722
39,320.576,1.07544,1.30685,1.19386,0.42432,0.6886,0.47877,0.33939,1.1845,1.41102,1.28363,0.000883093,0.000883093,0.000883093
40,328.747,1.08671,1.25786,1.19856,0.41914,0.71559,0.50007,0.35452,1.2108,1.36738,1.29886,0.000862464,0.000862464,0.000862464
41,336.893,1.07479,1.21877,1.19222,0.37923,0.79251,0.43811,0.31862,1.08622,1.37452,1.24102,0.000841835,0.000841835,0.000841835
